base;zero;pos;neg;half;feat;inter
1.92;-0.42;2.27;-1.36;1.09;1.43;0.51
1.78;5.46;0.65;-2.55;1.07;1.54;5.39
1.93;-3.88;2.98;-2.64;0.69;3.13;6.61
1.67;-7.35;4.18;-1.29;0.54;1.47;-0.18
1.81;0.53;2.33;-1.55;1.57;1.74;3.86
1.55;-0.63;0.99;-1.76;0.08;0.21;-0.82
1.97;-0.80;2.62;-1.71;1.05;-1.46;1.09
1.66;0.20;1.24;-1.36;1.40;3.71;4.72
2.02;-1.52;1.13;-1.03;1.02;1.92;-6.51
1.74;7.01;1.89;-0.70;-0.14;1.36;1.17
1.51;2.55;2.44;-0.62;0.20;5.92;7.09
1.59;-0.24;1.04;-1.46;0.80;1.45;2.54
1.54;1.55;1.11;-1.03;1.09;0.63;-0.47
1.72;-5.56;2.19;-1.66;0.66;5.43;-1.09
1.88;3.96;0.87;-2.18;0.75;3.46;2.76
1.55;-1.37;1.74;-0.29;0.39;0.71;7.04
1.77;-2.68;1.56;-2.75;0.87;-0.82;-0.87
1.79;2.08;0.25;-1.82;1.05;-0.35;2.54
1.63;-2.03;0.98;-0.45;0.78;3.26;2.39
1.79;0.73;2.25;-1.62;0.32;3.19;0.68
1.42;0.12;2.10;-0.62;0.84;4.05;5.66
1.63;4.03;0.33;-1.98;0.56;-0.29;-2.16
1.62;-0.72;2.61;-2.79;0.30;2.30;-0.28
1.73;2.75;3.20;-1.48;0.75;4.78;3.04
1.57;-3.82;2.44;-0.54;1.45;0.92;1.42
1.85;-2.00;1.40;-2.63;0.33;2.60;2.39
2.03;-1.89;2.00;-2.93;1.17;2.37;0.96
1.69;-0.71;1.47;-2.64;0.13;3.05;3.67
1.76;-0.65;0.45;-1.76;0.68;1.31;6.18
1.92;3.27;1.82;-1.28;0.89;4.44;0.36
1.78;0.63;1.76;-3.06;0.68;0.68;9.52
1.55;1.38;3.13;-0.36;0.46;3.22;3.63
1.77;-2.75;1.60;-1.92;0.79;1.45;5.52
1.88;1.67;2.08;-0.96;0.75;4.55;2.60
1.65;-1.13;1.57;-0.95;0.06;4.43;3.23
1.78;-0.58;1.88;-2.28;0.34;1.04;2.95
1.81;1.36;1.99;-2.57;0.44;5.19;1.27
2.11;6.10;2.74;-2.10;1.06;1.24;3.94
1.81;-1.97;2.31;-2.19;-0.24;4.90;7.11
1.66;0.85;1.54;-0.09;-0.03;4.15;2.20
2.07;1.59;1.93;-1.41;1.64;5.24;7.61
1.62;-1.14;1.70;-1.33;0.09;3.29;2.35
1.81;0.21;3.63;-0.95;0.22;2.58;-0.10
1.67;8.18;3.31;-1.54;0.73;3.05;2.43
1.69;-4.63;2.34;-1.89;0.02;-0.37;-2.28
2.11;0.76;2.93;-2.42;0.69;1.72;-0.40
2.15;1.01;1.77;-2.00;-0.27;-0.94;0.58
1.94;0.46;1.38;-2.53;1.51;2.91;3.72
2.08;-3.31;2.55;-3.04;-0.20;3.72;2.58
1.77;3.44;1.71;-2.48;2.08;-2.31;-1.46
2.05;-0.19;2.28;-1.72;0.46;-0.97;1.22
2.32;3.60;1.14;-2.53;1.50;-0.06;4.01
2.44;0.88;3.69;-2.99;0.48;1.48;-1.90
2.11;0.44;2.10;-1.64;0.44;3.89;3.74
2.11;-2.28;2.89;-3.39;0.12;-0.46;-2.01
2.28;-0.22;2.04;-1.61;0.12;4.36;5.59
2.03;2.72;2.83;-1.94;1.19;0.46;-2.59
2.09;0.10;3.19;-2.57;1.42;0.46;0.77
2.30;-7.64;2.17;-0.86;0.73;2.05;2.96
2.21;-0.56;2.76;-3.12;0.87;-0.26;2.04
2.38;-5.35;1.73;-1.79;1.02;2.91;0.85
2.55;-4.63;2.16;-2.31;0.44;-0.27;3.24
2.34;0.10;2.44;-1.71;1.79;3.46;4.64
2.49;-1.34;1.31;-2.88;0.28;-0.73;2.45
2.31;-3.80;2.71;-3.13;0.64;-0.28;1.55
2.48;-2.81;2.67;-3.83;1.10;0.56;2.58
2.34;-2.13;1.36;-2.98;0.88;-0.71;-3.25
2.45;-3.23;2.47;-2.29;0.69;-0.80;-0.76
2.49;-0.51;1.27;-3.19;0.63;-0.24;5.14
2.69;2.91;3.32;-1.52;0.49;-1.30;0.89
2.57;1.30;2.61;-1.52;0.02;-1.94;-3.31
2.96;-2.49;1.73;-2.26;0.67;1.17;-1.26
2.70;-3.60;3.49;-1.44;1.63;-2.61;4.34
2.78;0.89;2.21;-3.66;0.29;-3.29;-0.04
2.70;-2.74;2.36;-3.71;0.19;-4.21;-1.77
2.57;0.36;2.24;-0.70;0.75;-1.32;1.59
2.79;-2.64;4.11;-4.29;1.24;-1.71;-1.86
2.70;-1.75;2.11;-2.41;1.12;-2.05;-4.90
2.71;4.84;3.51;-3.76;0.43;-4.27;-0.29
2.85;3.43;3.73;-2.62;0.90;-2.49;-7.43
3.06;0.39;2.40;-2.95;0.59;3.79;0.45
2.91;-0.48;4.49;-3.41;1.10;-3.06;-1.19
2.98;-1.70;3.26;-2.01;0.69;0.16;4.18
3.10;-1.57;3.49;-2.79;1.54;-4.94;-3.55
3.11;-1.01;4.10;-3.10;1.31;-2.94;-2.82
3.13;-3.08;2.82;-2.32;1.39;2.17;5.89
2.95;-2.27;3.29;-3.31;1.24;0.36;2.78
3.14;-3.03;1.86;-2.05;0.57;-1.02;-2.01
3.33;0.51;3.60;-3.15;1.44;-1.12;-1.10
2.91;-2.29;3.55;-2.19;0.66;-2.60;-4.05
3.35;1.87;3.33;-2.70;2.00;0.39;2.61
3.37;3.08;2.97;-2.64;1.70;-0.47;3.66
3.17;0.88;3.91;-2.14;0.45;0.62;4.51
3.28;-0.93;3.23;-2.04;0.95;-1.01;-3.95
3.25;3.86;1.98;-3.49;0.98;-0.95;-2.44
3.34;-4.04;2.72;-3.16;1.04;-0.93;0.48
3.08;4.60;1.18;-3.00;0.22;-2.67;-0.95
3.73;1.05;3.14;-3.65;0.48;-0.96;-1.24
3.63;-0.77;3.76;-4.34;1.57;-3.74;-5.08
3.63;-1.80;3.55;-3.97;0.54;-0.77;2.80
3.55;-1.84;2.59;-3.07;1.52;0.63;-2.21
3.56;1.55;4.22;-3.28;1.88;-2.36;-0.48
3.68;-2.76;3.06;-4.22;1.34;-5.42;-3.59
3.27;2.78;3.39;-2.60;0.60;-2.51;2.75
3.45;0.83;3.72;-2.69;1.50;0.16;7.49
3.68;-3.87;3.43;-2.96;0.83;0.08;-4.66
3.68;1.27;4.02;-2.93;1.13;-4.50;-2.38
3.64;-0.34;3.44;-4.41;0.99;-1.14;-1.70
3.76;4.77;3.85;-5.09;0.73;-2.79;-7.36
3.81;-3.10;3.55;-4.77;1.64;3.35;2.24
3.84;-2.19;5.36;-4.90;0.83;-4.66;-3.79
3.78;0.75;4.77;-4.38;1.16;-2.94;1.93
4.01;-0.07;4.59;-4.84;1.41;-2.94;-2.81
4.12;-5.62;4.69;-3.90;1.56;-3.18;-0.63
3.73;-1.98;4.69;-4.35;0.58;-1.12;-2.66
3.94;4.77;5.06;-3.37;1.64;1.43;2.04
3.99;1.65;4.06;-3.65;1.83;-2.68;-1.15
3.75;3.75;3.32;-4.24;1.65;-0.99;0.14
4.03;-5.16;4.69;-4.26;1.32;-0.12;5.60
3.73;2.29;3.46;-4.34;0.99;-2.82;-2.38
4.01;-3.56;4.53;-5.08;0.63;-3.46;-8.98
3.80;-1.40;3.56;-4.47;1.20;-2.07;-1.55
4.21;5.66;5.02;-3.78;1.33;-4.85;-0.55
4.05;-0.49;3.46;-4.46;1.45;-2.27;-0.30
4.10;4.60;3.98;-3.48;1.00;-0.37;-4.50
4.13;-5.94;4.67;-2.53;1.39;-0.03;3.13
4.29;-4.32;3.04;-5.36;1.42;-1.11;-0.87
4.15;-0.68;4.85;-3.15;1.00;-1.16;-3.33
4.11;-1.17;3.62;-4.49;0.99;2.99;-1.95
3.99;-0.88;4.08;-4.19;1.58;1.48;2.01
3.95;-0.26;2.54;-5.20;0.20;-2.80;-2.19
4.20;2.14;4.03;-3.76;1.14;-3.04;-1.95
4.42;-2.49;3.69;-4.65;1.61;0.67;4.67
4.04;-0.00;2.68;-4.65;0.67;-1.86;0.30
4.18;0.19;5.75;-4.54;1.56;0.39;-5.31
4.18;-0.48;5.08;-4.17;1.97;-0.37;1.20
4.53;-4.92;4.41;-5.81;1.74;-0.16;6.98
3.93;-4.58;3.25;-4.50;1.53;-3.83;-0.86
4.37;0.29;3.65;-4.75;1.69;-0.02;-1.17
4.27;-1.52;3.82;-4.19;0.39;-2.26;-1.11
4.08;-4.67;3.34;-4.21;0.96;-2.74;0.47
4.01;-2.51;4.59;-5.09;0.89;-0.53;-3.49
4.07;1.44;5.30;-1.85;1.57;3.01;-0.89
4.23;-1.24;4.08;-3.10;1.70;0.49;0.49
4.34;0.52;2.88;-3.88;0.41;4.06;0.63
3.97;-4.78;4.95;-3.37;0.97;-1.90;-5.09
4.25;-1.99;3.72;-3.53;0.19;-2.90;-1.65
3.93;-0.06;5.12;-3.15;2.05;3.38;2.12
3.99;-4.65;4.02;-5.04;1.42;-3.10;-1.14
4.12;1.33;2.47;-4.04;1.86;-1.24;0.10
4.05;-2.65;4.13;-3.37;1.03;0.98;3.14
4.33;-4.11;5.09;-3.09;1.13;2.32;3.23
4.21;3.87;4.71;-5.62;1.48;1.24;1.13
4.00;3.31;3.89;-4.12;1.03;1.59;1.89
3.89;2.92;5.21;-4.79;0.40;4.57;0.63
3.94;-9.26;5.19;-4.54;1.59;0.49;1.34
3.86;-1.50;2.83;-4.96;1.28;3.18;4.96
3.72;-0.81;3.79;-5.08;0.91;2.23;3.37
4.11;-4.53;3.93;-3.78;1.45;3.36;-0.17
3.91;1.21;3.87;-4.63;0.94;-2.72;-3.26
3.95;0.74;5.31;-4.09;2.13;1.56;0.61
4.10;-3.98;3.26;-4.31;0.04;3.33;4.34
3.86;-2.21;4.20;-3.84;0.45;1.27;-3.13
3.75;-0.28;4.40;-4.86;0.79;4.12;4.84
3.77;-0.28;3.30;-3.31;2.36;1.12;0.57
3.48;4.75;3.55;-4.71;0.72;0.08;-1.80
3.62;3.83;1.98;-3.92;1.77;1.61;2.23
3.82;-2.59;2.18;-3.26;0.87;0.84;-0.76
3.69;4.07;4.93;-4.08;1.04;3.32;3.02
3.74;-2.07;3.61;-5.94;1.89;3.71;-0.57
3.68;1.77;2.77;-4.60;0.96;5.33;5.13
3.70;2.26;3.02;-2.99;1.54;0.80;3.83
3.45;-3.95;2.47;-4.08;1.45;2.96;3.04
3.49;1.55;4.06;-2.76;1.06;2.93;-0.91
3.77;-4.78;3.24;-4.44;1.65;1.73;2.27
3.79;4.22;1.98;-4.29;1.35;5.03;3.70
3.55;1.62;3.24;-3.33;1.12;1.87;1.87
3.73;0.70;2.69;-4.31;0.81;0.57;-0.80
3.68;-0.86;1.83;-3.10;0.53;0.90;0.27
3.48;1.28;3.60;-4.30;0.47;5.17;8.67
3.33;1.86;2.31;-4.49;1.08;1.78;3.30
3.49;-3.66;3.78;-3.87;0.51;-1.03;0.08
3.54;-1.00;4.03;-4.46;1.79;0.97;-3.48
3.61;1.48;3.42;-3.67;1.38;2.51;5.50
3.63;-1.93;3.68;-2.78;1.83;3.69;2.33
3.56;-3.03;4.24;-4.13;0.99;4.91;1.11
3.70;5.10;3.68;-2.86;0.70;4.66;3.72
3.74;-4.91;4.29;-2.86;1.31;3.55;2.57
3.60;-1.43;3.66;-3.65;1.08;0.53;-1.39
3.75;-3.72;3.40;-4.48;0.07;2.02;0.63
3.54;1.37;2.93;-2.81;0.79;6.36;3.73
3.87;-3.77;3.70;-4.80;1.35;4.46;3.84
3.52;-2.14;4.13;-2.71;0.64;3.18;4.88
3.45;0.04;2.99;-4.16;1.19;3.20;1.63
3.50;1.92;3.78;-5.19;0.50;1.07;-2.94
3.96;-0.92;5.02;-4.63;0.37;2.55;1.85
3.48;2.40;4.36;-4.27;0.87;1.26;3.95
3.67;6.67;3.80;-4.87;0.93;2.23;1.20
3.74;2.87;3.39;-3.38;1.44;0.18;2.30
3.62;2.26;3.98;-2.23;1.17;-1.43;-1.51
3.89;1.95;4.50;-3.06;1.36;5.57;4.31
3.58;-2.75;4.69;-3.86;0.82;3.12;2.91
3.90;1.43;4.80;-4.03;1.02;4.65;1.35
3.68;0.96;2.77;-3.80;1.01;2.03;4.46
3.82;-2.61;3.47;-4.31;1.83;4.48;10.68
3.53;0.46;4.42;-3.80;-0.07;3.02;-3.10
3.57;-1.53;3.86;-2.96;1.45;2.03;3.85
3.64;-1.58;3.38;-3.44;0.66;0.16;-0.73
3.63;4.07;4.40;-4.27;0.61;-0.96;-1.70
3.36;1.04;5.01;-3.13;1.81;1.44;1.11
3.34;-2.68;2.34;-4.14;1.83;2.31;0.91
3.34;0.81;2.89;-3.53;0.88;0.90;6.60
3.44;-1.77;4.78;-2.39;0.38;1.21;-2.45
3.40;4.44;3.88;-2.66;1.27;-4.16;-4.46
3.35;0.40;3.63;-1.90;1.57;2.67;6.02
3.02;-3.90;4.01;-1.84;1.22;-0.43;4.26
3.10;-0.35;4.42;-2.07;0.68;2.66;2.84
2.72;5.56;2.19;-3.27;0.91;0.55;-0.66
2.72;-5.59;2.44;-1.64;0.36;0.41;-2.22
2.63;-0.83;3.78;-3.92;0.49;-1.18;1.53
2.70;3.12;1.08;-2.42;1.07;0.76;-3.90
2.53;2.16;2.99;-2.88;1.33;-0.69;3.66
2.50;-1.64;2.60;-1.74;0.72;1.92;-4.25
2.49;0.35;1.88;-2.54;0.08;0.34;4.39
2.18;2.24;2.97;-1.40;0.43;-0.11;3.47
2.25;-1.64;0.88;-2.46;-0.25;-0.06;5.63
2.31;-4.75;3.36;-2.01;1.15;3.38;2.50
1.94;-0.17;1.16;-2.05;0.97;4.06;1.04
1.94;1.38;0.56;-2.89;-0.71;-3.64;-5.77
1.72;-2.42;-0.10;-2.15;-0.17;0.89;0.31
1.85;-6.26;2.80;-2.21;0.32;1.11;1.52
1.83;-4.41;1.40;-1.33;0.40;-4.70;0.71
1.72;-2.82;1.03;-2.48;0.24;-2.53;-3.46
1.75;-2.34;2.38;-1.00;0.48;0.36;-0.25
1.42;-2.01;0.51;0.65;0.78;4.14;3.85
1.46;-2.76;2.30;-1.87;0.46;-1.31;1.71
1.40;-0.51;1.55;-1.20;0.16;2.17;-0.31
1.05;3.19;0.55;-1.19;-0.63;-1.26;-0.61
1.22;0.74;0.20;-1.96;0.45;-3.24;-5.42
0.85;-2.47;2.12;-0.19;-0.46;-0.76;1.18
0.83;4.31;0.28;-0.91;-0.45;-1.62;-1.48
0.85;-1.97;0.09;-0.82;-0.03;-1.06;0.76
1.08;0.64;0.96;-0.79;-0.22;-0.93;-5.03
0.76;-0.74;1.94;-0.51;0.68;0.37;-3.45
0.72;-2.51;0.51;-0.11;0.35;-1.28;-2.70
1.09;-6.22;1.49;-0.25;0.30;-2.16;-2.85
0.53;-1.99;0.27;-2.03;1.51;-2.50;1.33
0.76;1.02;1.35;-0.78;0.57;-2.65;-5.05
0.59;6.22;-0.13;-0.44;0.34;-1.09;0.35
0.51;6.40;-0.77;-1.44;0.13;-2.58;-1.69
0.62;0.40;1.67;-2.11;0.47;-3.09;0.96
0.79;-0.00;0.13;-0.05;0.19;-0.96;-1.72
0.71;1.30;1.52;-1.63;0.24;-1.19;-3.35
0.73;0.09;-0.29;-0.05;0.12;0.40;-0.80
0.37;-1.06;0.58;-0.89;0.55;-1.23;5.88
0.44;1.56;1.23;-1.03;-0.28;-0.04;-4.13
0.56;-3.22;0.14;0.47;0.16;-4.22;-1.82
0.48;0.43;-0.33;0.62;-0.35;-0.71;-3.30
0.40;-1.54;1.14;-0.40;-0.31;1.21;-0.96
0.49;-2.99;0.75;-0.52;0.01;-3.36;-4.30
0.31;-2.80;0.37;-0.99;0.22;-3.08;0.94
0.29;2.01;0.28;-0.20;0.71;-1.87;3.40
0.70;1.51;0.17;-1.35;0.16;-4.65;-7.81
0.47;-1.74;-0.80;-0.16;-0.01;-0.91;-1.52
0.58;-0.50;0.51;0.27;0.87;-5.22;-3.14
0.37;2.31;0.67;-0.60;-0.46;-4.32;-3.28
0.48;-0.23;0.12;0.28;-0.13;-3.45;-2.19
0.30;-6.46;-0.91;-0.05;-0.56;-4.63;-2.78
0.78;2.20;0.44;-0.15;1.07;-1.88;-2.91
0.76;-2.15;1.78;-0.29;-0.22;-3.37;-0.55
0.74;-0.72;0.94;-0.55;-0.31;-1.79;-1.45
0.78;1.48;1.53;-1.87;0.08;1.14;1.64
0.50;-2.22;-0.79;-0.38;-0.02;-3.11;-4.51
0.48;0.88;-0.20;-1.11;0.25;-2.11;-4.69
0.67;4.24;-0.06;-1.04;0.61;-5.47;-0.82
0.82;0.95;2.46;-0.27;0.19;-6.84;-4.74
0.84;-4.34;0.81;-1.89;-0.21;1.60;0.27
0.58;3.85;-1.19;-0.58;0.19;-1.52;-1.38
0.56;0.70;1.13;0.83;-0.60;-3.08;-3.16
0.77;-0.10;0.50;-0.94;0.80;-3.06;-0.42
0.97;2.28;1.46;-0.26;0.25;-1.22;1.25
0.87;0.54;1.61;-0.61;0.66;0.76;1.79
1.10;0.83;0.58;-0.79;-0.08;-1.70;1.18
0.92;2.57;0.85;-1.63;0.32;1.51;3.06
0.66;-6.88;0.97;-0.12;0.07;-0.50;0.51
0.96;1.64;1.12;-2.08;0.95;-3.37;-0.53
1.03;2.38;1.62;-0.67;0.01;-1.53;2.59
1.17;-2.66;1.66;-0.92;0.66;1.61;1.60
1.02;2.11;2.09;-1.56;1.32;-1.06;-3.61
1.21;-2.34;1.25;-1.56;0.47;1.74;-1.85
1.21;5.42;0.78;-0.81;0.36;-0.30;-8.60
