base;zero;pos;neg
1.44;-0.20;-2.91;-1.53
1.41;1.52;-2.66;-1.97
1.46;0.67;-5.48;-2.67
1.73;2.67;-0.19;-2.82
1.35;0.69;3.62;0.06
1.54;-0.18;3.01;-1.03
1.42;2.78;-0.28;-1.73
1.67;3.28;2.09;-0.90
1.58;0.19;-1.90;-0.54
1.71;1.81;1.50;-1.28
1.54;0.99;1.77;-0.93
1.54;3.56;1.09;-1.95
1.66;1.90;4.69;-1.05
1.42;2.34;-6.03;-3.46
1.81;2.14;-1.52;-2.75
1.46;0.52;0.50;-1.72
1.69;2.76;4.91;-0.93
2.02;0.34;4.94;-0.92
1.86;2.07;2.62;-0.71
1.68;1.59;-5.15;-1.95
1.71;2.73;-2.67;-2.06
1.69;4.27;1.81;-1.86
1.67;4.64;-3.77;0.45
1.92;0.61;4.24;-1.36
1.68;2.56;1.77;-1.18
1.91;2.27;-0.23;-2.93
2.12;2.28;-0.18;-0.51
1.85;1.88;0.57;-1.01
2.15;3.13;4.73;-1.27
2.26;1.12;-1.28;-2.76
2.28;2.51;-1.21;-3.31
2.04;2.28;6.10;-2.70
2.16;1.97;2.77;-1.79
2.20;1.83;-1.36;-2.57
2.33;0.83;-0.81;-1.18
2.30;2.98;-5.44;-3.12
2.57;3.09;0.81;-3.55
2.51;3.71;-1.61;-3.13
2.33;2.93;1.54;-2.71
2.34;2.58;-0.68;-0.93
2.36;3.35;2.83;-0.84
2.94;4.96;-3.56;-2.20
2.54;2.76;1.08;-0.94
2.73;3.43;0.86;-2.99
2.64;2.97;1.84;-2.54
2.96;4.50;-1.48;-2.68
2.68;0.28;-1.37;-3.25
2.97;1.50;-4.35;-1.74
3.21;2.51;-6.78;-2.67
3.00;1.41;-4.58;-2.32
3.15;2.47;2.06;-2.30
3.10;4.14;-2.98;-2.91
3.16;3.50;1.97;-2.79
3.52;2.82;-0.93;-3.99
3.57;4.70;4.59;-3.15
3.55;3.82;-4.40;-4.47
3.52;3.11;3.55;-3.63
3.54;2.80;-2.14;-2.86
4.07;4.45;-4.11;-6.20
4.12;4.13;-1.10;-3.66
4.09;3.95;2.07;-5.62
4.08;5.75;-5.56;-5.13
4.49;2.76;5.80;-5.59
4.29;4.53;-2.47;-4.76
4.75;4.84;0.19;-6.22
4.53;5.97;-1.40;-4.56
4.74;5.18;-1.46;-5.08
5.07;6.72;-1.46;-4.37
5.23;4.94;-1.38;-5.77
5.20;5.58;-6.22;-5.07
5.48;5.05;2.85;-7.31
5.57;6.93;-4.99;-5.66
5.85;4.91;2.18;-4.77
5.82;5.78;3.04;-6.23
6.07;4.39;-1.17;-7.43
5.95;6.11;1.83;-4.14
6.09;6.25;-0.22;-6.31
6.65;6.65;2.92;-6.50
6.61;6.84;4.72;-6.76
6.87;7.45;-3.92;-7.01
7.11;8.34;-2.99;-7.89
6.90;6.30;2.43;-8.12
7.37;8.63;-2.65;-8.48
7.41;6.65;-3.33;-5.87
7.53;6.92;2.82;-6.89
7.63;7.48;1.17;-8.62
7.64;6.57;1.52;-7.53
7.54;7.33;1.09;-9.61
7.29;6.44;5.31;-8.83
7.76;8.38;-1.22;-6.35
7.60;7.74;1.12;-7.45
7.78;7.75;2.10;-7.55
7.31;7.64;1.63;-7.73
7.36;7.89;-0.10;-8.87
7.18;7.19;1.41;-5.59
7.36;7.44;-0.21;-8.21
7.21;7.34;-1.44;-7.92
7.23;7.13;2.06;-7.60
6.92;7.20;-3.21;-5.90
7.03;7.15;-0.41;-5.34
6.82;4.74;-2.75;-8.45
6.83;7.15;-2.99;-8.11
6.92;5.43;-0.32;-6.02
6.69;6.39;-3.00;-6.99
7.00;6.76;0.41;-7.40
6.70;6.64;-4.31;-6.76
6.49;4.53;3.59;-4.33
6.52;6.27;-2.18;-4.69
6.37;6.52;3.60;-8.93
6.38;7.29;1.01;-7.67
6.58;6.77;-0.57;-6.65
6.40;7.36;3.47;-6.18
6.26;4.55;-1.09;-6.94
6.43;6.29;2.16;-7.89
6.11;7.57;-4.18;-6.92
6.17;7.80;2.22;-6.26
6.42;5.93;4.10;-6.43
6.39;5.95;-1.48;-6.57
6.27;6.55;-2.79;-6.11
6.00;4.56;0.16;-8.25
6.33;5.37;3.14;-7.35
6.30;6.83;-2.54;-7.51
6.24;6.97;-0.60;-5.61
6.11;6.45;2.88;-6.61
6.03;5.77;1.87;-6.23
6.52;5.98;2.15;-4.69
6.29;6.66;-5.31;-5.82
6.50;7.16;1.96;-6.40
6.39;6.66;6.45;-5.58
6.26;6.68;-6.04;-5.91
6.26;7.23;-6.30;-6.24
6.22;5.01;0.58;-5.57
6.13;6.56;-2.47;-6.42
6.23;4.80;-7.26;-6.33
6.23;4.66;-0.04;-5.41
6.10;5.69;1.03;-6.20
6.13;5.92;1.87;-6.56
6.19;8.41;-0.26;-6.21
6.28;6.59;0.09;-7.33
6.23;6.21;1.54;-5.80
5.85;5.57;-4.76;-6.82
6.18;7.15;-0.41;-6.48
6.02;6.65;-2.54;-5.56
6.34;4.92;2.50;-8.27
5.87;5.55;0.01;-5.53
5.99;4.79;-1.84;-6.86
6.04;5.14;2.00;-7.32
6.01;6.33;-2.84;-6.64
5.99;6.45;0.78;-7.07
5.84;6.98;7.46;-5.03
5.70;4.47;3.55;-5.45
5.70;6.14;6.61;-7.26
5.85;5.62;-0.24;-8.07
5.53;5.61;0.81;-4.54
5.70;7.19;6.60;-3.88
5.74;5.59;-2.07;-6.00
5.66;4.80;-0.97;-5.92
5.52;5.81;1.92;-5.53
5.73;6.68;0.00;-7.99
5.63;5.78;4.72;-5.01
5.59;6.59;-3.61;-4.44
5.47;6.13;-0.13;-5.36
5.46;5.93;3.59;-4.57
5.40;5.43;-2.32;-6.15
5.33;6.35;4.41;-4.01
5.18;4.89;-0.57;-4.80
5.15;4.71;-0.52;-6.76
5.08;4.66;-0.52;-4.77
5.12;6.01;1.61;-4.29
5.12;3.72;5.08;-5.36
4.95;6.78;-2.21;-4.61
4.87;5.92;2.74;-6.67
4.53;5.80;3.41;-6.48
4.89;3.52;0.65;-4.75
4.67;3.20;-1.21;-5.65
4.80;6.02;-3.16;-4.58
4.78;6.05;1.63;-4.72
4.61;4.40;4.91;-5.73
4.68;5.12;3.26;-4.18
4.96;3.81;-6.90;-4.37
4.59;5.00;-1.68;-5.62
4.82;4.35;2.38;-3.61
4.53;4.97;1.36;-4.29
4.77;3.29;-1.95;-4.10
4.41;3.41;-4.94;-5.40
4.30;4.12;-1.90;-4.07
4.66;5.19;-3.11;-3.28
4.18;4.11;3.15;-4.09
4.12;5.08;-0.30;-3.54
4.23;4.92;-3.44;-5.85
4.33;5.23;7.64;-3.74
4.03;4.86;-2.14;-5.90
4.41;3.32;-2.20;-2.85
4.30;5.68;-2.27;-3.53
4.14;5.08;-0.38;-3.84
3.85;4.72;-1.08;-4.97
4.27;4.12;3.10;-6.30
4.26;5.40;-3.95;-3.36
4.05;4.57;2.19;-3.41
4.15;3.73;-2.57;-5.54
4.02;4.04;0.63;-3.76
3.93;3.67;-1.56;-2.65
3.99;3.64;5.90;-4.01
4.01;3.23;5.11;-2.89
4.10;5.67;-0.60;-4.67
3.93;4.78;1.52;-3.31
3.83;4.21;2.55;-2.54
3.79;4.38;-4.32;-3.52
3.57;4.04;-1.80;-4.08
3.66;4.29;-0.76;-2.99
3.22;4.23;-1.23;-4.17
3.43;4.67;-3.63;-4.15
3.46;3.65;3.96;-4.66
3.32;1.57;-2.13;-2.67
2.91;3.67;-4.91;-3.13
3.11;2.45;3.37;-2.85
3.08;4.95;2.76;-2.24
2.88;5.06;0.35;-3.42
2.57;2.68;-0.99;-1.51
2.70;0.70;5.66;-1.49
2.58;2.37;-7.54;-2.83
2.44;1.29;-1.92;-1.15
2.20;4.16;3.86;-3.26
2.12;2.13;-0.97;-0.82
2.09;1.97;7.32;-2.51
2.02;3.28;8.01;-2.69
1.66;0.42;-1.43;-2.50
1.48;0.35;-0.74;-0.38
1.42;2.74;-1.05;-1.26
1.27;2.10;-3.57;0.42
1.36;3.13;-6.54;-1.21
0.98;1.68;-0.48;-0.81
1.20;-0.16;-3.48;-0.86
0.74;0.55;-1.03;-0.81
1.02;1.80;-1.05;0.55
0.44;2.21;-4.87;-0.46
0.54;0.15;0.65;-0.95
0.31;0.00;-0.27;0.36
0.39;0.39;0.52;-2.13
0.34;2.11;0.23;0.01
0.53;-0.08;-1.67;0.21
-0.26;-1.00;-1.12;0.61
-0.13;-0.67;2.27;0.99
-0.19;0.24;0.51;-1.28
-0.31;0.86;-2.64;-0.48
-0.36;0.24;-2.01;-0.90
-0.45;0.01;0.28;1.98
-0.69;-0.45;2.09;1.23
-0.49;-0.58;1.40;0.09
-0.65;-1.74;-0.52;-0.52
-0.64;0.53;-1.27;0.74
-0.92;-2.49;5.44;2.04
-0.63;-0.47;2.72;0.81
-0.50;-0.23;3.72;2.63
-1.26;-0.54;-0.03;1.77
-0.81;-1.04;-1.76;1.11
-0.97;-1.85;1.08;2.46
-1.11;-1.02;0.36;1.56
-1.29;-0.48;-1.71;2.41
-1.13;-0.30;-1.78;1.95
-1.05;-1.50;-4.37;0.83
-1.09;-1.39;1.09;0.75
-1.16;-0.99;-1.75;0.84
-1.45;-3.36;2.82;0.63
-1.23;-0.51;-0.88;1.37
-1.53;-1.32;7.26;-0.42
-1.41;-1.49;1.33;0.88
-1.36;-0.32;4.41;1.74
-1.51;-2.31;4.40;0.82
-1.56;-1.57;3.23;2.78
-1.21;-0.28;1.35;2.10
-1.39;-0.80;-1.65;2.51
-1.39;-1.49;-0.64;0.50
-1.58;-1.86;-4.61;1.73
-1.39;-0.13;1.65;0.11
-1.52;-1.40;1.15;0.63
-1.33;-2.43;2.12;0.07
-1.34;-2.06;3.66;2.62
-1.39;-0.42;0.84;0.45
-1.59;-4.86;-0.53;2.92
-1.42;-3.33;-2.84;3.02
-1.51;-2.02;-4.66;0.79
-1.34;-1.93;-6.24;1.19
-1.78;-0.73;-0.54;1.87
-1.63;-3.08;3.83;1.48
-1.55;-1.26;-2.50;1.46
-1.45;-0.85;5.51;1.84
-1.46;-0.12;-3.29;4.48
-1.65;-3.47;2.05;2.33
-1.47;0.06;0.69;-1.14
-1.31;-1.32;-0.03;-0.82
-1.42;-2.52;-1.46;1.21
-1.20;-1.59;-0.32;1.03
-1.29;-2.11;-1.03;0.15
-1.86;-3.61;-2.55;1.02
-1.45;-1.03;-2.95;2.42
-1.30;-0.89;0.71;2.22
-1.51;-0.71;1.92;2.99
-1.16;0.13;1.12;0.06
-1.18;-2.05;8.29;1.28
-1.49;-2.37;0.12;2.50
-1.39;0.56;-4.73;3.10
-1.39;-3.29;-2.34;2.24
-1.41;-1.03;-3.02;-1.02
-0.99;-1.39;3.06;2.15
-0.93;-1.09;3.35;0.75
-1.11;-2.33;-0.22;0.84
-1.27;-0.23;2.33;1.00
-1.04;-0.49;-2.48;0.72
-0.88;-1.25;0.18;1.94
-0.94;-0.84;-0.15;-0.28
-0.80;-1.78;-9.83;1.12
-0.78;-0.19;-1.54;1.95
-0.85;-1.84;2.44;0.50
-1.01;0.26;-1.49;-0.33
-0.89;-1.73;-1.26;0.79
-0.71;-0.31;-1.35;0.04
-0.81;0.22;-5.18;2.68
-0.65;-1.62;0.77;-0.24
-0.80;-0.59;4.42;-0.46
-0.46;-0.66;1.97;-0.56
-0.35;0.27;2.25;0.42
-0.63;0.31;0.60;3.08
-0.61;-2.13;-3.00;0.30
-0.35;0.57;1.43;-1.80
-0.33;-1.16;6.03;-1.49
-0.32;-0.15;-3.67;0.03
-0.03;-1.10;2.59;-1.45
-0.41;0.35;3.63;0.28
-0.28;-0.36;3.85;-0.21
0.11;1.31;1.49;2.32
-0.17;0.63;3.41;0.06
-0.57;-0.98;-2.54;-0.17
-0.01;0.26;6.95;-0.10
-0.02;1.41;-0.11;-0.82
0.07;-0.75;0.41;-2.99
